Patent Summary,Result
"본 발명은 유비쿼터스 환경에서의 개인정보 보호방법에 관한 것으로, 보다 자세하게는 외부로부터 개인정보에 접근하는 것을 막기 위해 개인을 중심으로 근거리 소정 공간을 외부에서 접근이 되지 않도록 무선통신 투명공간을 만들어 개인에게 보유 또는 내장되어 있는 통신칩의 정상 기능을 중단하고 개인정보의 유출을 방지방법에 관한 것이다. 본 발명의 유비쿼터스 환경에서의 개인정보 보호방법은 개인정보를 내장하고 무선통신 기능을 탑재한 유비쿼터스 장치 및 상기 유비쿼터스 장치와 무선통신을 통해 정보를 교환하는 리더기 또는 유비쿼터스 센서를 포함하여 구성된 유비쿼터스 환경에서의 개인정보의 유출을 방지하기 위한 방법에 있어서, (a) 유비쿼터스 장치 리스트 및 개인정보 유형 리스트를 저장하는 단계; (b) 상기 유비쿼터스 장치로부터의 상기 개인정보의 유출을 감지하는 단계; (c) 상기 유출되고 있는 개인정보의 목록 및 유비쿼터스 장치를 표시하는 단계; (d) 상기 정보가 유출되는 유비쿼터스 장치중 일부 또는 전체를 선택하는 단계; (e) 상기 선택된 장치가 일부일 경우는 상기 선택된 장치의 개인정보를 임시저장하고 상기 선택된 장치가 전체 유비쿼터스 장치일 경우는 개인을 중심으로 근거리 소정 공간을 전파가 흡수 또는 차폐되는 무선통신 투명공간을 생성하는 단계; 및 (f) 상기 선택된 장치의 전원을 오프하거나 메모리를 삭제하는 단계를 포함하여 이루어짐에 기술적 특징이 있다. 따라서, 본 발명의 유비쿼터스 환경에서의 개인정보 보호방법은 외부로부터 개인정보에 접근하는 것을 막기 위해 개인을 중심으로 근거리 소정 공간을 외부에서 접근이 되지 않도록 무선통신 투명공간을 만들어 개인에게 보유 또는 내장되어 있는 통신칩의 정상 기능을 중단함으로써 개인정보의 유출을 방지하는 효과가 있고, 향후 U-city 및 유비쿼터스 사회 구축을 촉진시키는 효과가 있다. 유비쿼터스, ubiquitous, 개인정보보호, 전파차폐, 알에프아이디",거절
"본 발명은 바코드를 이용한 수납 시스템 및 운영방법에 관한 것이다. 본 발명은 바코드 리더를 이용하여 종이 고지서에 기록된 바코드를 판독하여 상기 바코드에 기록된 수납 정보를 추출하여 전송하는 금융기관수납단말; 상기 금융기관수납단말과 네트워크를 통해 서로 연결되어 있으며, 상기 금융기관수납단말에서 처리된 상기 수납 정보들을 수신한 후, 이를 합산하는 처리를 수행한 후, 상기 수납 정보를 전송하는 금융기관서버; 상기 금융기관서버와 네트워크를 통해 연결되어 있으며, 상기 금융기관서버에서 합산된 상기 수납 정보를 확인한 후, 확인된 수납 확인 정보를 전송하며, 상기 수납 정보를 이용하여 금액을 결제하는 금융결재원서버; 상기 금융결재원으로부터 상기 수납 확인 정보를 수신하여, 상기 종이 고지서의 효력을 소멸시키는 자치단체금고서버; 및 상기 금융결재원으로부터 상기 수납 확인 정보를 수신하여, 상기 자치단체금고서버와 동시에 상기 종이 고지서 효력을 소멸시키는 행안부서버를 포함하고 행안부서버로부터 수납정보를 수신하는 자치단체서버를 포함함으로써, OCR 판독을 통한 지방세입 수납체계를 바코드를 통한 수납체계로 전환하여 전국금융기관 어디에서나 실시간 수납 처리 체계 구축이 가능하다. 바코드, 수납",거절
"본 발명은 피사체의 거리와 상관없이 체온 측정을 정확하게 할 수 있게 하는 체온 측정 모듈 장치 및 체온 측정 방법에 관한 것으로서, 몸체; 상기 몸체가 스마트 기기의 포트와 연결될 수 있도록 상기 몸체에 형성되는 연결부; 상기 몸체에 설치되고, 피사체에 근적외선 광을 조사하는 근적외선 발광부; 상기 몸체에 설치되고, 상기 피사체에 가시광을 조사하는 가시광 발광부; 상기 몸체에 설치되고, 상기 근적외선 광에 대한 제 1 반사광을 촬영하는 근적외선 카메라; 상기 몸체에 설치되고, 상기 가시광에 대한 제 2 반사광을 촬영하는 가시광 카메라; 및 상기 몸체에 설치되고, 상기 피사체의 열영상을 촬영하는 열영상 카메라;를 포함할 수 있다.",등록
"본 발명은 온라인 상에서 광고의 제작 및 등록, 판매가 가능하도록 에스크로 결제 방식을 이용한 쌍방향 선택 온라인 광고 서비스 방법을 개시한다. 본 발명에 따른 서비스 방법은, 온라인 상에서 광고 서비스 방법에 있어서, a) 온라인 광고를 위해 광고주의 회원등록을 수행하는 과정; b) 온라인 상에서 광고제작 빌더를 제공하고, 광고제작 빌더를 이용하거나 또는 제작된 광고를 등록 및 광고조건을 설정하는 과정; c) 광고제작에 필요한 비용 및 온라인 광고의 제반 비용을 온라인 상에서 결제 및 에스크로에 예치하고, 온라인 광고를 공개하는 과정; d) 온라인 출판물(신문, 잡지, 일기, 카달로그, 뉴스레터, 전자책, 앨범 등) 또는 Blog, 카페, 홈피 운영자의 회원등록을 수행하는 과정; e) 온라인 출판물 또는 Blog, 카페, 홈피 운영자가 등록된 광고를 검색하는 과정; f) 온라인 출판물 또는 Blog, 카페, 홈피 운영자가 제작한 콘텐츠내에 광고를 삽입하는 과정; g) 온라인 출판물 또는 Blog, 카페, 홈피 운영자가 광고조건을 만족시켜 에스크로에 예치된 광고비를 지급받는 과정으로 구성된다. 따라서, 본 발명은 온라인 상으로 광고를 등록하고, 등록된 광고의 조건에 부합된 온라인 출판물 또는 Blog, 카페, 홈피 운영자를 선택할 수 있어 광고주가 원하는 타겟 광고가 가능하고, 광고를 게재하는 운영자는 콘텐츠와 부합하는 광고를 선택하여 게재할 수 있어 광고의 효과를 극대화 시키는 효과가 있다. 또한, 광고주와 콘텐츠 제작자를 직접 연결함으로써 콘텐츠의 고급화 및 광고의 고급화를 유도할 수 있는 효과가 있다. 에스크로, 온라인, 출판물, 광고, 광고주, 블로그, 쌍방향, 선택",거절
"본 발명은, 무선 휴대 단말기에 사물의 움직임 또는 사물의 소리를 감지할 수 있는 접근 감지 기능을 부가시키는 한편, 상기 접근 감지 기능을 이용하여 무선망을 통해 경보 메시지를 사용자가 설정한 또 다른 단말기로 전송할 수 있도록 하기 위한, 접근 감지 기능을 갖는 휴대 단말기 및 그를 이용한 접근 감지 방법을 제공하는데 그 목적이 있다. 이를 위해 본 발명은 접근 감지 시스템에 적용되는 접근감지 기능을 갖는 휴대 단말기에 있어서, 일반적인 이동 통신망의 주파수로 정보를 송수신하기 위한 송수신부(132); 접근 감지 모드 설정을 위한 버튼 입력을 받기 위한 입력부(134); 상기 입력부로부터 입력된 경보 메시지 및 상기 경보 메시지를 전송할 경보 수신용 단말기 정보를 저장하기 위한 저장부(136); 상기 접근 감지 모드설정에 필요한 정보를 출력하기 위한 출력부(135); 상기 각 부 간의 통신을 제어하기 위한 제어부(133); 및 외부로부터의 접근이 감지된 경우 감지된 정보를 상기 제어부로 전송하기 위한 내장형 감지부를 포함한다. 휴대 단말기, 접근 감지",거절
"본 발명은 광통신을 위해 포설된 광케이블을 원격지에서 대조하기 위하여, 광케이블 내의 한 가닥 광섬유 일단을 제2커플러에 삽설하여 두 가닥의 광섬유로 분배되는 파이버 싱글 앤딩부를 간섭계에 연결하여 원격지 현장에서 작업자가 대조하고자 하는 광케이블을 두드리는 형식의 교란을 가하면 작업자가 가한 교란을 감지하여 소리 형태로 재생한다. 본 발명에서는 재생된 광신호와 교란을 가한 광신호를 원격지의 현장에서 수월하게 광케이블을 대조함으로써, 광케이블 절단 작업시 오절단을 사전에 예방할 수 있다. 광케이블, 대조, 식별.",등록
"본 발명은 QR 코드를 이용한 전자출입관리 시스템에 관한 것이다. 보다 상세하게는 기설정된 특정 위치에 설치되어, 사용자 정보를 입력받고, 사용자 단말에 출력된 제1 QR 코드를 기반으로 출입인증여부를 판단하는 키오스크 단말, 관리자 서버로부터 수신한 상기 제1 QR 코드를 출력하는 사용자 단말 및 상기 키오스크 단말로부터 상기 사용자 정보를 수신하고, 상기 키오스크 단말 정보 및 상기 사용자 정보를 기반으로 상기 제1 QR 코드를 생성하고, 상기 제1 QR 코드를 상기 사용자 단말로 송신하는 관리자 서버를 포함할 수 있다.",등록
"본 발명은 인터넷 광고 시청을 통하여 수익을 창출하는 광고 컨텐츠를 제공하기 위한 광고 운용 방법 및 그 서버 시스템에 관한 것이다. 특히, 본 발명의 실시예들은 광고 효율을 높이기 위하여, 사용자가 광고 사이트에 접속하기 전에 광고 컨텐츠의 시청을 유도할 수 있다. 나아가, 본 발명의 실시예들은 사용자가 광고 컨텐츠를 시청하지 않고 광고 사이트를 방문한 경우보다 사용자가 광고 컨텐츠를 시청하고 광고 사이트를 방문한 경우에 더 큰 광고비, 더 큰 적립금, 더 큰 후원금을 책정할 수 있다.",거절
"본 발명은 실질적으로 접착면으로 확장시킴으로써 잔류물 없이, 그리고 비파괴적으로 제거하기 위한, 접착제 컴파운드 층(adhesive compound layer)을 포함하는 감압 접착 스트립으로서, 접착제 컴파운드 층이 비닐방향족 블록 코폴리머 및 접착 수지로 구성된 감압 접착 컴파운드로 이루어지고, -20℃ 초과, 바람직하게는 0℃ 초과의 DACP(디아세톤 알코올 혼탁점(diacetone alcohol cloud point)) 및 70℃ 이상, 바람직하게는 100℃ 이상의 연화 온도(링 0026# 볼(ring % ball))를 갖는 수지를 적어도 75 wt.%(수지의 총량에 대해)로 선택하고, 감압 접착제 컴파운드가 발포되는, 감압 접착 스트립에 관한 것이다.",등록
"본 발명은 휴대 단말기의 일정 캘린더를 이용한 다이어리 관리 방법에 관한 것으로서, 휴대 단말기에서 다이어리 기능을 제공하므로써, 휴대 단말기를 매체로 하는 다양한 활동을 체계적으로 관리할 수 있는 방법을 제공하는 것을 목적으로 한다. 상기 목적을 달성하기 위하여 본 발명은, 휴대 단말기의 일정 캘린더(Scheduling Calendar)를 이용한 다이어리 관리방법에 있어서, 휴대 단말기의 인터페이스 상에서 일정 캘린더가 선택되어 캘린더가 표시부에 디스플레이되는 표시단계와; 상기 표시부 상에 디스플레이된 캘린더의 다이어리에서 일정, 통화, 문자, 사진, 영상 중의 어느 하나가 선택되어 실행되는 실행단계 및 상기 휴대 단말기의 인터페이스 상에서 일정 캘린더가 종료되는 종료단계를 포함하는 것을 특징으로 한다. 일정 캘린더, 다이어리 관리방법",등록
"본 발명은 화상회의실 종합관리 시스템에 관한 것으로서, 상세하게는 퍼스널 컴퓨터에서 네트워크를 통해 코덱(CODEC)부에 접속하여 회의시간을 예약하고, 메신저를 통해 회의 시작시간의 일정 시간 전에 예약된 회의가 있음을 예약자에게 알려주며, 예약상황 및 현재 회의실 상황을 회의실 밖의 모니터에 디스플레이하도록 하는 화상회의실 종합관리 시스템에 관한 것이다.",등록
"본 발명은 축의금 대납 처리시스템에 관한 것으로서, 더욱 상세하게는 사전에 설정된 결제 방식대로 필요에 따라 경조사비를 지출하도록 하여 경조사 비용 지급의 간편성을 제공하며, 식사를 하지 않는 경우에 일정 금액을 반환하기 위한 적립권을 제공받게 되며 추후 경조사비의 일부로 사용할 수 있도록 하여 주최측과 참석자(지인)의 경조비용 부담을 경감시켜줄 수 있는 축의금 대납 처리시스템에 관한 것이다.",등록
"본 발명은 구매행동 데이타베이스를 가지며 파트너 그룹에 소속된 회원 기반의 고객 데이타 관리 또는 분석 서비스를 제공하는 파트너 그룹 서버와, 상기 파트너 그룹에 소속된 제 1 가맹점 및 제 2 가맹점(제 2 가맹점은 제 1 가맹점이 아니면서 상기 파트너 그룹에 속한 가맹점으로 정의된다) 각각의 파트너 단말을 포함하는 가맹점 그룹핑 시스템; 및 상기 제 1 가맹점 및 상기 제 2 가맹점에 각각 설치된 결제 단말과, 상기 결제 단말과 유선 또는 무선으로 연결되는 고객 디바이스 정보 입력장치; 및 상기 제 1 가맹점 및 상기 제 2 가맹점의 정보를 관리하는 결제 서버;를 포함하는 결제 시스템을 포함하며, 상기 가맹점 그룹핑 시스템과 상기 결제 시스템은 서로 독립적으로 구축되고, 상기 결제 시스템의 상기 결제 서버가, 상기 제 1 가맹점 및 상기 제 2 가맹점의 결제 단말로부터 수신한 상기 고객 디바이스 정보 및 상기 고객 디바이스 정보에 매칭되는 상기 파트너 그룹 소속 가맹점 내 고객 결제 데이타를 상기 가맹점 그룹핑 시스템의 상기 파트너 그룹 서버로 전송하는 것을 특징으로 하는, 단골손님 증대를 위한 결제 시스템과 매칭되는 가맹점 그룹 시스템을 제공한다.",거절
"본 발명은 환자가 병원에서 진료를 받은 후에 가입되어 있는 보험사에 병원에서 보험급여를 원격으로 신청할 수 있는 시스템 및 방법에 관한 것이다. 본 발명에서는 병원서버, 전자결제서버, 공단자격조회서버, 증명서관리서버, 보험사 서버와 연결되어 있는 보험급여중계서버와 통신망으로 연결되어 있고, 행정전산망과 인터넷망을 통하여 접속되어 있는 환자가 진료를 받은 병원에 설치되어 있는 증명서자동교부기를 포함하는 무인 키오스크를 구비하고; 상기 증명서자동교부기에 환자나 그 대리인의 지문 및 사진 정보를 입력하여 행정전산망의 지문 비교 결과 데이터를 이용하여 본인확인 과정을 거친 후, 진단서 등의 제증명서를 발급받아 환자가 선택한 보험사에 보험급여 신청을 원격으로 수행하는 보험급여 원격 자동 신청 시스템 및 방법이 제시된다. 보험급여, 보험신청, 진단서, 온라인, 사보험",거절
웨어러블 기기(신체 활동 및 생체정보 인식) 와 모바일 앱의 연동을 통해 보호자가 보호대상자를 효율적이고 효과적으로 케어하는 시스템을 구축하는 비즈니스 모델.1,거절
"본 발명의 일 실시예에 따른 O2O 기반의 고객 유치 보상 제공 시스템은 오픈 API를 이용하여 가맹점을 소개 또는 추천하고, 타 회원이 추천한 추전정보로 해당 가맹점에 오프라인 방문예약을 지원하는 사용자 단말; 및 가맹점을 타 회원에게 추천하거나, 추천된 가맹점을 방문예약하거나, 방문한 회원에게 상기 가맹점에서 지원하는 리워드를 해당 사용자 단말로 지급하는 리워드 플랫폼 관리서버를 포함한다.",등록
"디스플레이를 구비하고 보이스 어시스턴트와 연동하는 스마트 메이크업 미러 디바이스가 소개된다. 이 디스플레이를 구비하고 보이스 어시스턴트와 연동하는 스마트 메이크업 미러 디바이스는 본체; 상기 본체에 회전 가능하게 장착되는 디스플레이 미러 유닛; 및 사운드를 출력하도록 상기 본체에 장착되는 스피커를 포함하고, 상기 디스플레이 미러 유닛은 사용자의 음성 신호 또는 터치 신호에 따라 기 설정된 디스플레이 모드를 실행하여 이미지를 출력하는 디스플레이 모듈; 및 상기 디스플레이 모듈에서 출력된 이미지를 선택적으로 투과시킬 수 있도록 구성되고 미러면을 포함하는 메이크업 미러를 포함할 수 있다.",등록
"정을 이용한 기부 서비스 제공 방법이 개시된다. 본 기부 서비스 제공 방법은, 서버에서 정을 생성하고 이를 사용자 단말에 지급하는 정 배분 단계, 상기 사용자 단말에서 지급된 상기 정을 다른 사용자 단말로 전달하는 정 주기 단계, 후원 업체에서 기부한 정품을 다른 사용자 단말로부터 전달받은 하나 이상의 정을 이용하여 교환하는 정품 교환 단계, 및 상기 정품의 교환에 사용된 하나 이상의 정을 소유했던 복수의 사용자 단말로 감사 메시지를 전송하는 메시지 전송 단계를 포함한다.",등록
"표면실장설비용 비전검사장치의 원격제어시스템 및 이를 이용한 원격제어방법이 제공된다. 이때의 표면실장설비용 비전검사장치의 원격제어시스템에는 인쇄회로기판에 실장된 부품의 영상을 검사하고 검사데이타를 무선으로 전송하는 비전검사장치와, 비전검사장치를 원격에서 제어할 수 있도록 비전검사장치와 무선으로 양방향 통신이 가능한 관리장치를 포함함이 바람직하다. 표면실장, 비전검사",등록
"본 발명은 이미지 센서, 이미징 장치, 이동 단말기 및 이미징 방법을 개시한다. 상기 이미지 센서는, 감광 화소 어레이; 및 상기 감광 화소 어레이 상에 설치된 광 필터링 시트를 포함하고, 상기 광 필터링 시트는 다수의 광 필터링 유닛이 구비된 광 필터링 유닛 어레이를 포함하되, 그중 각각의 상기 광 필터링 유닛은 N개의 감광 화소를 뒤덮고, 일부분 상기 광 필터링 유닛은 적어도 백색 필터링 구역을 포함하며, 상기 백색 필터링 구역은 상기 N개의 감광 화소 중의 적어도 하나의 감광 화소를 뒤덮고, 그중 동일한 하나의 상기 광 필터링 유닛에 의해 뒤덮인 상기 N개의 감광 화소는 하나의 병합 화소를 구성하며, N은 양의 정수이다. 본 발명의 실시예에 따른 이미지 센서는 일부분 광 필터링 유닛 중에 백색 필터링 구역을 삽입함으로써 광 입사량을 증가할 수 있고, 나아가 저조도 환경하에서 높은 SNR, 휘도 및 선명도를 획득할 수 있으며, 노이즈가 적은 이미지를 생성할 수 있다.",등록
"본 발명은 스마트폰을 손을 사용하지 않고 머리에 착용한 상태에서 스마트폰에서 구현되는 영상을 볼 수 있고, 또는 교육이나 강의를 들을 때는 선생님 또는 강사의 교육이나 강의를 편하게 주시하며 들을 수 있도록 한 교육용 증강현실 기기에 관한 것으로, 그 구성은, 머리에 착용하는 헬멧의 전방에 스마트폰거치수단과, 관통부와, 반사미러와, 프리넬볼록렌즈와, 전반사미러와, 빛 차단부재를 갖는 증강현실기기를 설치하여 된 것으로 이루어진다.",거절
"본 발명은 이동통신 시스템에서 동적 무선 채널 할당 서비스를 제공함으로써, 무선네트워크에서 인접한 AP끼리의 주파수 충돌을 최소화하고, 모든 채널에 고르게 할당함으로써 빠른 속도의 무선 인터넷을 제공할 수 있는 이동통신 시스템에서의 동적 무선 채널 할당 서비스 방법을 제공하기 위한 것으로서, 이동체의 이동 경로에 따라 무선 네트워크에서 인접한 AP의 무선 채널을 검색하는 제 1 검색 단계와, 상기 제 1 검색으로 검색된 AP의 무선 채널의 주파수 대역에서 사용 기회를 탐색하여 국가 지침으로 권장하고 있는 채널대역 중 채널대역이 서로 겹치지 않는 채널대역이 있는지 검색하는 제 2 검색 단계와, 상기 제 2 검색 결과, 서로 겹치지 않은 채널대역이 검색되면, 검색된 채널대역을 이동체의 무선 채널로 할당하는 단계와, 상기 제 2 검색 결과, 서로 겹치지 않은 채널대역이 검색되지 않으면, 다시 검색된 AP의 무선 채널의 주파수 대역에서 사용 기회를 탐색하여 국가 지침으로 권장하고 있는 채널대역 중 사용 중이지 않은 채널대역이 있는지 검색하는 제 3 검색 단계와, 상기 제 3 검색 결과, 사용 중이지 않은 채널대역이 검색되면, 검색된 채널대역을 이동체의 무선 채널로 할당하는 단계와, 상기 제 3 검색결과, 사용 중이지 않은 채널대역이 검색되지 않으면, 검색된 AP의 무선 채널의 전체 주파수 대역에서 사용 기회를 탐색하여 전송속도 및 신호세기를 측정하는 단계와, 상기 측정결과 가장 빠른 속도 또는 가장 강한 신호세기를 갖는 하나의 채널대역을 선택하여 이동체의 무선 채널로 할당하는 단계를 포함하여 이루어지는데 있다.",등록
"본 발명은 페노티아진 S-옥시드 또는 페노티아진 S,S-디옥시드 기를 함유하는 실란, 상기 실란을 함유하는 유기 발광 다이오드, 1 이상의 상기 실란 및 1 이상의 트리플릿 발광체를 함유하는 발광층에 관한 것이다. 본 발명은 또한 본 발명에 따른 실란의 제조 방법, 상기 실란의 유기 발광 다이오드에서의, 바람직하게는 트리플릿 발광체용의 매트릭스 물질 및/또는 차단체 물질로서의 용도에 관한 것이다.",등록
"본 발명은 전자기기에 관한 것으로, 특히 키패드를 디스플레이부와 연동하게 하여 본체의 외측 방향으로 인출되게 하는 슬라이딩 장치 및 이를 갖춘 전자기기에 관한 것이다. 본 발명의 전자기기는 본체와, 본체 내부에 슬라이딩 입출 가능하게 장착된 키패드와, 본체에 회전가능하게 힌지 결합되는 디스플레이부와, 키패드를 디스플레이부의 상향회동과 연동하여 전방으로 인출되도록 하는 슬라이딩 장치를 포함하는 것을 특징으로 한다.",거절
"본 발명은 디스플레이 패널의 2차원 평면상에 집적화된 투명 이미지 센서를 이용한 3차원 공간 터치 스크린 장치에 관한 것으로, 보다 상세하게, 본 발명은 2차원 내지 3차원 입체 화면을 제공하는 텔레비전, 게임장치, 컴퓨터 표시장치나 휴대폰 장치 등의 디스플레이 패널(display pannel) 위에 투명한 CMOS(Complementary metal-oxide-semiconductor) 이미지 센서 또는 CCD(Charge-Coupled Device) 이미지 센서; 및 투명 전극 패턴들을 분포 배치하여 3차원 공간상에서 이루어지는 사용자의 손 동작 및 몸동작을 상기 텔레비전, 컴퓨터 표시장치, 게임장치 나 휴대폰 장치가 3차원적으로 인식하기 위한 3D 공간 터치 스크린 장치; 및 이를 이용한 방법에 관한 것이다.",거절
"본 발명은 평상시 공원, 산책로, 탄방로, 올렛길 등에 설치하여 태양광 조명으로 사용되며, 유사시 구조요청 음성을 감지하여 경광등 및 사이렌을 동작시켜 주변에 도움을 요청하도록 함과 동시에 무선통신으로 경찰출동신호를 전송하는 안전알림 태양광조명장치에 관한 것이다. 본 발명은, 태양광을 전기로 변환하는 솔라셀; 지면에 고정 설치되는 받침대; 상단에 상기 솔라셀를 형성하고, 상기 받침대에 결합 및 분리가능하게 형성되는 몸체부; 상기 몸체부에 내장되며 상기 솔라셀의 전기로 충전되는 축전지; 및 상기 몸체부의 하단에 형성되고 상기 축전지에 충전된 전기로 점등되는 조명등을 포함하고, 상기 몸체부의 저면에는 점멸 레이저 조명과 후레쉬 조명이 형성되고, 상기 몸체부의 측면에는 상기 몸체부 분리시, 상기 점멸 레이저 조명을 온/오프시키는 레이저 스위치와, 상기 후레쉬 조명을 온/오프시키는 후레쉬 스위치를 포함한다.",등록
"본 발명은 에스프레소 커피 추출 장치의 운용방법에 관한 것이다. 본 발명은 이를 위해 바리스타가 손으로 추출하는 에스프레소와 동등한 질의 커피를 전자동으로 추출할 수 있도록 하기 위해 커피추출기(100)의 전원인가와 터치패널디스플레이부(300)의 조작에 의해 제어부(200)가 추출피스톤구동부와 투웨이실린더구동부를 실행시키되, (1) 커피추출기(100)를 예열 및 커피를 추출시키는 기본동작 과정; (2) 커피추출기(100)를 제어하는 프로그램 설정 과정; (3) 커피추출기(100)를 전문가가 제어하는 전문가 프로그램으로 설정하는 과정; (4) 커피추출기(100)의 이상시 알림 화면을 제공하는 과정; 및 상기 (1) 내지 (4) 과정 중 모두 또는 어느 하나를 선택하여 에스프레소 커피 추출 장치를 운용하게 된다. 상기와 같이 구성된 본 발명은 바리스타가 손으로 추출하는 에스프레소와 동등한 질의 커피를 전자동으로 추출할 수 있도록 한 것이며, 이로 인해 제품의 품질과 신뢰성을 대폭 향상시키므로 사용자인 소비자들의 다양한 욕구(니즈)를 충족시켜 좋은 이미지를 심어줄 수 있도록 한 것이다.",등록
"본 발명에서는 촬영을 기반으로 3차원 공간 장면을 재구성하는 방법을 제공하고, 하기 단계가 포함되는 바, S1: 모든 공간의 사진을 도입하고, 사진을 촬영 시의 방향과 시각에 따라 3차원 공간에 대응시켜, 3차원 공간의 카메라 위치로부터 관찰할 때, 각 픽셀의 관찰 방향이 촬영 시와 일치하도록 하며; S2: 룸을 다수의 평면의 집합으로 간주하여, 우선 하나의 평면을 결정하고, 다시 평면 간 상화 관계와 평면 간의 교차선을 통하여 하나씩 모든 평면을 결정하며; S3: 표기 시스템을 통하여 룸 공간 구조를 표기하고 또한 치수 정보를 취득하며; S4: S3에서 수집한 점 좌표 정보를 통하여 룸의 3차원 공간 모델을 구성한다. 본 발명은 장면의 3차원 공간 모델을 환원시킬 수 있고, 아울러 치수 정보와 무늬 정보를 포함하고 또한 세부 사항을 잃지 않을 뿐 아니라, 또한 빠르게 간편하게 3차원 공간 장면에 대하여 편집 수정을 진행할 수 있고, 또한 아울러 치수 정보를 포함하고 또한 뒤틀림이 없는 2차원 평면도를 생성할 수 있다.",거절
"본 발명은 카메라촬영시 사용하는 삼각대에 고정 설치할 수 있는 카메라 삼각대용 우산거치대에 관한 것이다. 그의 구성은; 카메라 삼각대 위에 고정 설치되는 것으로서, 상기 카메라 삼각대의 상단에 마련되어 있는 메인 나사봉에 결합되는 고정대; 상기 고정대의 일측에 설치되는 것으로서, 파이프 형태의 우산대를 홀딩하여 이를 고정시키기 위한 우산고정부;를 포함하는 것을 특징으로 한다.",등록
"본 발명은 주소형 자동화재 탐지설비에 관한 것으로, 특정소방대상물의 층 단위 또는 면적 단위의 경계구역별로 복수개가 분산 배치되며, 화재감지 혹은 비화재보의 발생 이벤트에 따라 경계구역별로 복수개가 분산 배치된 감지기가 모두 작동되며, 자신의 설정된 위치정보를 전송하는 주소형 화재감지기; 및 상기 주소형 화재감지들을 각각의 1회로 루프당 복수로 그룹핑하는 전기적인 배선으로 연결 접속하며, 화재감지 혹은 비화재보의 발생 이벤트에 따른 해당 주소형 화재감지기로부터 전송되는 위치정보를 수신하고, 그 위치정보의 분석을 통해 경계구역 번호와 감지기 번호를 표시하는 주소형 수신기;를 포함하는 것을 특징으로 하는 주소형 자동화재 탐지설비를 개시한다. 이러한 본 발명은 화재발생의 정확한 위치주소가 경계구역 번호와 주소형 감지기 번호로 정밀하게 위치가 표시됨으로써, 화재발생 시 정확한 위치 파악을 통한 초기 대응 속도가 향상되고, 그로인한 인적, 물적 화재피해를 최소화하는 작용효과가 기대된다.",등록
"본 발명은 서버에서 제공하는 다양한 물건을 직거래할 수 있도록 웹사이트에 접속한 구매자들을 대신하여 그에 따른 준비서류 및 수출입통관 절차를 대행하는 것으로, 클라이언트 시스템을 통해 서버시스템의 웹사이트에서 제공하는 물품정보를 검색한 후 구매 요청정보를 서버시스템에 전송하는 단계; 수입 클라이언트 시스템으로부터 구매 요청정보를 수신하는 단계; 수신된 구매 요청정보를 통해 신청인을 식별하고, 신규 신청인일 경우 새로운 정보를 저장함과 동시에 식별된 회원에 대해 이전에 저장된 추가정보를 검색하는 단계; 수신된 수입 클라이언트 시스템의 구매에 따른 해당 물품에 대해 수출 클라이언트 시스템에서 제시하는 가격 및 조건을 검색하고 그 검색 리스트를 최적화시키는 단계; 검색 리스트를 수입 클라이언트 시스템으로 전송하고, 수입클라이언트 시스템으로부터 물품 구매에 따른 확인을 받는 단계; 수입 클라이언트 시스템으로 물품 대금과 수입대행 수수료를 청구하는 단계; 수입 클라이언트 시스템으로부터 입금을 확인한 후 수입절차에 따른 각종 서류를 작성하여 수출 클라이언트 시스템으로 전송함 동시에 물품 대금을 정의된 방법에 의해 지불하는 단계; 및 수출 클라이언트 시스템으로부터 수입에 따른 확인정보를 전달받고 그 사실을 수입 클라이언트 시스템으로 전송하는 단계;를 포함하여, 구매를 요청한 물품을 정의된 방법에 의해 전달받는다.",거절
"생체신호와 체동 및 착용 유무 센서모듈, 수면과 각성 및 자각몽을 유도하기 위한 음향부과 영상부, 수면단계분석과 수면상태분석을 위한 알고리즘, 코골이 방지제어 베개 제어부 등을 탑재하여 수면조절을 위한 휴대형 이목 마스크 장치와, 휴대형 이목 마스크 장치를 제어하고, 휴대형 이목 마스크 장치로부터 수면데이터를 수신하여 디스플레이하고, 분석하여 사용자의 수면의 질을 평가하여 사용자에게 수면보고서를 디스플레이하는 휴대형 제어단말기로 구성된 휴대형 이목 마스크 기반 수면조절 및 모니터링 장치와 그 방법이 개시된다.",등록
"본 발명은 구비된 카메라를 이용한 명함 인식을 위한 휴대용 단말기 및 방법에 관한 것으로, 본 발명의 명함 인식 방법은, a)명함의 필드별 문자 표기 특성을 설정하는 단계; b)명함 인식 모드에서, 카메라를 통해 촬영된 명함 이미지로부터 문자 영역을 추출하는 단계; c)명함 이미지로부터 추출하고자 하는 해당 필드의 정보가 표기되어 있을 것으로 추정되는 필드별 후보 영역을 필드별 문자 표기 특성을 참조하여 추출하는 단계; d)필드별 후보 영역 중 최우선순위를 갖는 필드 후보 각각으로부터 문자 정보를 추출하는 단계; 및 e)각각 추출한 문자 정보를 통합하는 단계를 포함한다. 이에 의해, 보다 빠르고 정확한 명함 데이터 인식이 가능하고 필요한 필드에 대한 선택적 명함 인식이 가능하다. 휴대용 단말기, 카메라, 명함, 인식, 문자 인식, 필드",등록
